position,club,name,this_season_pts,last_season_pts,price,change,status,played,points_per_match,home_pts,home_average,away_pts,away_average
Davanter,Real Madrid,Mbappé,0,316,22.820.000,130.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Barcelona,Yamal,0,294,22.340.000,60.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Barcelona,Raphinha,0,323,17.720.000,80.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Barcelona,Pedri,0,290,16.720.000,60.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Real Madrid,Valverde,0,261,14.860.000,40.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Atlético,Julián Alvarez,0,235,14.770.000,110.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Betis,Isco,0,184,14.580.000,90.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Real Madrid,Vinícius Jr,0,201,14.300.000,90.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Barcelona,Lewandowski,0,266,14.260.000,150.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Real Madrid,Baena,0,246,11.930.000,80.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Villarreal,Ayoze,0,241,11.830.000,80.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Real Madrid,Bellingham,0,225,11.760.000,590.000,Lesionat. Lesió a l'espatlla. Tornada estimada: Principis d'octubre.,0,"0,0",0,"0,0",0,"0,0"
Davanter,Athletic,Nico Williams,0,146,10.340.000,160.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Athletic,Sancet,0,216,10.020.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Osasuna,Budimir,0,268,10.020.000,60.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Davanter,Barcelona,Dani Olmo,0,169,9.590.000,40.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Real Madrid,Dean Huijsen,0,0,9.340.000,120.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Davanter,Real Madrid,Arda Güler,0,137,9.110.000,120.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Davanter,Atlético,Trent,0,0,7.870.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Atlético,Sørloth,0,213,7.780.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Davanter,Real Sociedad,Kubo,0,209,7.660.000,60.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Barcelona,Joan García,0,233,7.590.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Athletic,Iñaki Williams,0,200,7.420.000,60.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Barcelona,Koundé,0,195,6.820.000,90.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Barcelona,De Jong,0,127,6.690.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Barcelona,Cubarsi,0,174,6.680.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Atlético,Thiago Almada,0,0,6.680.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Betis,Lo Celso,0,163,6.560.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Barcelona,Iñigo Martínez,0,166,6.410.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Real Madrid,Courtois,0,152,6.280.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Davanter,Villarreal,Moleiro,0,174,6.210.000,60.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Real Sociedad,Oyarzabal,0,153,6.200.000,120.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Celta,Iago Aspas,0,198,6.130.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Atlético,Griezmann,0,194,6.060.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Betis,Cucho,0,103,6.060.000,40.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Defensa,Atlético,Marcos Llorente,0,176,5.780.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Betis,Lukébakio,0,213,5.710.000,40.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Athletic,Vivian,0,201,5.640.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Valencia,Raba,0,175,5.390.000,60.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Defensa,Real Madrid,Tchouameni,0,130,5.310.000,40.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Barcelona,Balde,0,144,5.280.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
